system,mean,sd,median,iqr,bootstrap_ci95_low,bootstrap_ci95_high,n
code_only_v1,0.3706,0.1588,0.3150,0.0236,0.3381,0.4049,84
full_method_v1,0.5738,0.2094,0.7076,0.4322,0.5262,0.6166,84
naive_concat_v1,0.3539,0.1681,0.2892,0.0580,0.3191,0.3901,84
text_only_v1,0.3459,0.1719,0.2621,0.0630,0.3112,0.3839,84
