system,mean,sd,median,iqr,bootstrap_ci95_low,bootstrap_ci95_high,n
code_only_v1,1.0000,0.0000,1.0000,0.0000,1.0000,1.0000,84
full_method_v1,1.0000,0.0000,1.0000,0.0000,1.0000,1.0000,84
naive_concat_v1,0.9786,0.0964,1.0000,0.0000,0.9571,0.9946,84
text_only_v1,0.9786,0.0964,1.0000,0.0000,0.9571,0.9946,84
