system,mean,sd,median,iqr,bootstrap_ci95_low,bootstrap_ci95_high,n
code_only_v1,0.8931,0.1004,0.9000,0.1667,0.8716,0.9131,84
full_method_v1,0.7869,0.2317,0.8333,0.1786,0.7371,0.8342,84
naive_concat_v1,0.7737,0.1618,0.8182,0.2975,0.7376,0.8062,84
text_only_v1,0.7174,0.1845,0.6270,0.3194,0.6778,0.7564,84
