system,faithfulness_mean,faithfulness_ci95_low,faithfulness_ci95_high,code_consistency_mean,code_consistency_ci95_low,code_consistency_ci95_high,vacuity_mean,vacuity_ci95_low,vacuity_ci95_high,proof_utility_mean,proof_utility_ci95_low,proof_utility_ci95_high,reliability_mean,reliability_ci95_low,reliability_ci95_high
code_only_v1,0.8931,0.8716,0.9131,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.3706,0.3381,0.4049,0.7559,0.7422,0.7693
full_method_v1,0.8769,0.8610,0.8936,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.5763,0.5298,0.6189,0.8183,0.8033,0.8350
naive_concat_v1,0.7737,0.7376,0.8062,0.9786,0.9571,0.9946,0.0280,0.0178,0.0387,0.3539,0.3191,0.3901,0.6837,0.6580,0.7090
text_only_v1,0.7174,0.6778,0.7564,0.9786,0.9571,0.9946,0.0501,0.0308,0.0705,0.3459,0.3112,0.3839,0.6443,0.6170,0.6742
