system,mean,sd,median,iqr,bootstrap_ci95_low,bootstrap_ci95_high,n,w_faithfulness,w_code_consistency,w_proof_utility,w_vacuity,w_contradiction,w_missing_critical,reliability_definition
code_only_v1,0.7568,0.0636,0.7740,0.0645,0.7343,0.7824,24,0.34,0.33,0.33,0.15,0.1,0.1,"wf*faithfulness + wc*code_consistency + wp*proof_utility - wv*vacuity_rate - wx*I(contradiction) - wm*min(1,missing/6)"
full_method_v1,0.8195,0.0776,0.8468,0.1451,0.7887,0.8513,24,0.34,0.33,0.33,0.15,0.1,0.1,"wf*faithfulness + wc*code_consistency + wp*proof_utility - wv*vacuity_rate - wx*I(contradiction) - wm*min(1,missing/6)"
naive_concat_v1,0.6826,0.1222,0.6640,0.1682,0.6350,0.7291,24,0.34,0.33,0.33,0.15,0.1,0.1,"wf*faithfulness + wc*code_consistency + wp*proof_utility - wv*vacuity_rate - wx*I(contradiction) - wm*min(1,missing/6)"
text_only_v1,0.6393,0.1403,0.5789,0.1756,0.5800,0.6965,22,0.34,0.33,0.33,0.15,0.1,0.1,"wf*faithfulness + wc*code_consistency + wp*proof_utility - wv*vacuity_rate - wx*I(contradiction) - wm*min(1,missing/6)"
