system,mean,sd,median,iqr,bootstrap_ci95_low,bootstrap_ci95_high,n,w_faithfulness,w_code_consistency,w_proof_utility,w_vacuity,w_contradiction,w_missing_critical,reliability_definition
code_only_v1,0.7592,0.0721,0.7740,0.0967,0.7379,0.7791,47,0.34,0.33,0.33,0.15,0.1,0.1,"wf*faithfulness + wc*code_consistency + wp*proof_utility - wv*vacuity_rate - wx*I(contradiction) - wm*min(1,missing/6)"
full_method_v1,0.8126,0.0759,0.8393,0.1418,0.7902,0.8346,44,0.34,0.33,0.33,0.15,0.1,0.1,"wf*faithfulness + wc*code_consistency + wp*proof_utility - wv*vacuity_rate - wx*I(contradiction) - wm*min(1,missing/6)"
naive_concat_v1,0.6663,0.1180,0.6413,0.1266,0.6370,0.6940,63,0.34,0.33,0.33,0.15,0.1,0.1,"wf*faithfulness + wc*code_consistency + wp*proof_utility - wv*vacuity_rate - wx*I(contradiction) - wm*min(1,missing/6)"
text_only_v1,0.6371,0.1318,0.5794,0.1758,0.6064,0.6679,68,0.34,0.33,0.33,0.15,0.1,0.1,"wf*faithfulness + wc*code_consistency + wp*proof_utility - wv*vacuity_rate - wx*I(contradiction) - wm*min(1,missing/6)"
