run_id,system_id,provider_name,provider_model,total_input_tokens,total_output_tokens,wall_clock_seconds,estimated_or_billed_cost_usd,cost_status,cost_reason_code,runner_hostname,runner_os,runner_arch,lean_check_time_seconds,manifest_path
run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_094,code_only_v1,openai,gpt-5.4-nano,,,,,,,PETEL,windows,x86_64,,runs/run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_094/run_manifest.json
run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_095,code_only_v1,openai,gpt-5.4-nano,,,,,,,PETEL,windows,x86_64,,runs/run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_095/run_manifest.json
run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_096,code_only_v1,openai,gpt-5.4-nano,,,,,,,PETEL,windows,x86_64,,runs/run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_096/run_manifest.json
run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_097,code_only_v1,openai,gpt-5.4-nano,,,,,,,PETEL,windows,x86_64,,runs/run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_097/run_manifest.json
run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_098,code_only_v1,openai,gpt-5.4-nano,,,,,,,PETEL,windows,x86_64,,runs/run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_098/run_manifest.json
run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_111,code_only_v1,openai,gpt-5.4-nano,,,,,,,PETEL,windows,x86_64,,runs/run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_111/run_manifest.json
run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_112,code_only_v1,openai,gpt-5.4-nano,,,,,,,PETEL,windows,x86_64,,runs/run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_112/run_manifest.json
run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_113,code_only_v1,openai,gpt-5.4-nano,,,,,,,PETEL,windows,x86_64,,runs/run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_113/run_manifest.json
run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_114,code_only_v1,openai,gpt-5.4-nano,,,,,,,PETEL,windows,x86_64,,runs/run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_114/run_manifest.json
run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_115,code_only_v1,openai,gpt-5.4-nano,,,,,,,PETEL,windows,x86_64,,runs/run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_115/run_manifest.json
run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_116,code_only_v1,openai,gpt-5.4-nano,,,,,,,PETEL,windows,x86_64,,runs/run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_116/run_manifest.json
run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_117,code_only_v1,openai,gpt-5.4-nano,,,,,,,PETEL,windows,x86_64,,runs/run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_117/run_manifest.json
run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_118,code_only_v1,openai,gpt-5.4-nano,,,,,,,PETEL,windows,x86_64,,runs/run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_118/run_manifest.json
run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_119,code_only_v1,openai,gpt-5.4-nano,,,,,,,PETEL,windows,x86_64,,runs/run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_119/run_manifest.json
run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_120,code_only_v1,openai,gpt-5.4-nano,,,,,,,PETEL,windows,x86_64,,runs/run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_120/run_manifest.json
run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_121,code_only_v1,openai,gpt-5.4-nano,,,,,,,PETEL,windows,x86_64,,runs/run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_121/run_manifest.json
run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_122,code_only_v1,openai,gpt-5.4-nano,,,,,,,PETEL,windows,x86_64,,runs/run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_122/run_manifest.json
run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_123,code_only_v1,openai,gpt-5.4-nano,,,,,,,PETEL,windows,x86_64,,runs/run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_123/run_manifest.json
run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_124,code_only_v1,openai,gpt-5.4-nano,,,,,,,PETEL,windows,x86_64,,runs/run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_124/run_manifest.json
run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_125,code_only_v1,openai,gpt-5.4-nano,,,,,,,PETEL,windows,x86_64,,runs/run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_125/run_manifest.json
