system,mean,sd,median,iqr,bootstrap_ci95_low,bootstrap_ci95_high,n
code_only_v1,0.8769,0.1009,0.8333,0.2500,0.8472,0.9050,47
full_method_v1,0.8275,0.1859,0.8750,0.1286,0.7680,0.8756,44
naive_concat_v1,0.7450,0.1575,0.7727,0.2917,0.7076,0.7851,63
text_only_v1,0.7069,0.1831,0.6111,0.3015,0.6642,0.7498,68
