system,mean,sd,median,iqr,bootstrap_ci95_low,bootstrap_ci95_high,n
code_only_v1,0.8951,0.1020,0.9083,0.1667,0.8542,0.9333,24
full_method_v1,0.8758,0.0803,0.8541,0.1005,0.8444,0.9080,24
naive_concat_v1,0.7691,0.1644,0.7980,0.2994,0.7053,0.8302,24
text_only_v1,0.6988,0.1822,0.6010,0.2938,0.6247,0.7767,22
