system,mean,sd,median,iqr,bootstrap_ci95_low,bootstrap_ci95_high,n
code_only_v1,1.0000,0.0000,1.0000,0.0000,1.0000,1.0000,24
full_method_v1,1.0000,0.0000,1.0000,0.0000,1.0000,1.0000,24
naive_concat_v1,0.9813,0.0919,1.0000,0.0000,0.9437,1.0000,24
text_only_v1,0.9795,0.0959,1.0000,0.0000,0.9386,1.0000,22
