system,mean,sd,median,iqr,bootstrap_ci95_low,bootstrap_ci95_high,n
code_only_v1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,60
full_method_v1,0.0127,0.0475,0.0000,0.0000,0.0022,0.0254,57
naive_concat_v1,0.0310,0.0514,0.0000,0.0833,0.0202,0.0428,76
text_only_v1,0.0484,0.0928,0.0000,0.0909,0.0294,0.0691,81
