system,mean,sd,median,iqr,bootstrap_ci95_low,bootstrap_ci95_high,n
code_only_v1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,24
full_method_v1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,24
naive_concat_v1,0.0264,0.0490,0.0000,0.0208,0.0076,0.0469,24
text_only_v1,0.0391,0.0838,0.0000,0.0000,0.0065,0.0732,22
