system,repair_n,observed_mean_faithfulness,counterfactual_mean_faithfulness,delta_obs_minus_counterfactual,non_repair_eval_n
full_method_v1,3,0.2333333333333333,0.8726166666666667,-0.6392833333333334,18
naive_concat_v1,2,0.5,0.7449894736842105,-0.24498947368421053,38
text_only_v1,4,0.5,0.7333023255813953,-0.2333023255813953,43
