system_id,paper_run_id,benchmark_version,provider,model_name,model_version,prompt_template_path,prompt_template_sha,temperature,top_p,max_output_tokens,num_samples_per_instance,selection_rule,reference_obligations_visible,scaffold_visible,visible_context_fields,run_manifest_path,system_card_path,model_metadata_status
code_only_v1,run_2026_04_22_code_only_v1_eval_zzzzz_full_refresh_001,v0.2,openai,gpt-5.4-nano,unknown,configs/prompts/code_only_v1.json,sha256:9664cfe9022ac47027d55cf4af9813e2c10b9b16209e4410f12941fbc5b4b626,0.0,1.0,2048,3,first_parseable_json_object; tie-break lowest obligation count then lexicographic raw text,false,true,problem_summary|rust_summary,runs/run_2026_04_22_code_only_v1_eval_zzzzz_full_refresh_001/run_manifest.json,experiments/system_cards/code_only_v1.yaml,matched
full_method_v1,run_2026_04_22_full_method_v1_eval_full_001,v0.2,openai,gpt-5.4-nano,unknown,configs/prompts/full_method_v1.json,sha256:5229c38a3ecafab7160deef80078799706dbbeb6e69f11d4b1442ef7d075523e,0.0,1.0,2048,3,first_parseable_json_object,false,true,problem_summary|semantic_units|rust_summary|lean_scaffold,runs/run_2026_04_22_full_method_v1_eval_full_001/run_manifest.json,experiments/system_cards/full_method_v1.yaml,matched
naive_concat_v1,run_2026_04_22_naive_concat_v1_eval_full_001,v0.2,openai,gpt-5.4-nano,unknown,configs/prompts/naive_concat_v1.json,sha256:cb4c312551c7a226c9761227379fd26c57a592d0e448dd1d19b40e26c8b95aa2,0.0,1.0,2048,3,first_parseable_json_object,false,true,problem_summary|semantic_units_nl|rust_summary|lean_scaffold,runs/run_2026_04_22_naive_concat_v1_eval_full_001/run_manifest.json,experiments/system_cards/naive_concat_v1.yaml,matched
text_only_v1,run_2026_04_22_text_only_v1_eval_003,v0.2,openai,gpt-5.4-nano,unknown,configs/prompts/text_only_v1.json,sha256:d24577a885d057ce04670c50f651055c4fe7eb50cb3b4a37544d8b3ce240b2a0,0.0,1.0,2048,3,first_parseable_json_object; tie-break lowest obligation count then lexicographic raw text,false,false,problem_summary,runs/run_2026_04_22_text_only_v1_eval_003/run_manifest.json,experiments/system_cards/text_only_v1.yaml,matched
