system,mean,sd,median,iqr,bootstrap_ci95_low,bootstrap_ci95_high,n
code_only_v1,1.0000,0.0000,1.0000,0.0000,1.0000,1.0000,60
full_method_v1,0.9336,0.1680,1.0000,0.0000,0.8860,0.9737,57
naive_concat_v1,0.9763,0.1012,1.0000,0.0000,0.9526,0.9941,76
text_only_v1,0.9778,0.0981,1.0000,0.0000,0.9556,0.9944,81
