system,mean,sd,median,iqr,bootstrap_ci95_low,bootstrap_ci95_high,n
code_only_v1,0.3971,0.1829,0.3150,0.0354,0.3461,0.4511,47
full_method_v1,0.5429,0.2242,0.6789,0.4298,0.4749,0.6032,44
naive_concat_v1,0.3395,0.1590,0.2828,0.0527,0.3027,0.3795,63
text_only_v1,0.3361,0.1641,0.2599,0.0630,0.3009,0.3752,68
