category,count
strict_independent_n_eval_rows,222
strict_independent_n_unique_instances,71
strict_independent_direct_human,0
strict_independent_direct_adjudicated,222
strict_independent_mapped_from_canonical,0
expanded_propagated_n_eval_rows,336
expanded_propagated_n_unique_instances,84
expanded_propagated_direct_human,0
expanded_propagated_direct_adjudicated,222
expanded_propagated_mapped_from_canonical,114
